1121768867976683526,america continues to win the policies undertaken the last couple of years have resulted in incredible growth the u.s. economy grew at a faster pace than eected in the first quarter and posted its best growth to start a year in years gdp,"America continues to WIN. The policies undertaken the last couple of years have resulted in incredible growth. ➡️ ""The U.S. #economy grew at a faster pace than expected in the first quarter and posted its best growth to start a year in 6 years.”  #gdp📈 🇺🇸
https://t.co/Kj1o3vnWB7",0.5900000000000001,0.4,
1121766605573296128,the situation on the u.s.-mexico border is a humanitarian and national security disaster rep andy biggs az rep sean duffy rep john joyce rep matt gaetz and rep_hunter detail the crisis they saw during a recent trip to the border in this fox news op-ed,"The situation on the U.S.-Mexico border is a humanitarian &amp; national security disaster. @RepAndyBiggsAZ, @RepSeanDuffy, @RepJohnJoyce, @RepMattGaetz &amp; @Rep_Hunter detail the crisis they saw during a recent trip to the border in this @FoxNews op-ed. ⬇️ https://t.co/mPeqydYbiU",0.0,0.25,
1121766008837017601,amazing news for our growing economy cnbc us economy grows by in the first quarter topping eectations,"Amazing news for our growing economy! 

@CNBC: US economy grows by 3.2% in the first quarter, topping expectations https://t.co/IEfegI5nDW",0.42500000000000004,0.6166666666666667,
1121765997046841344,best q1 gdp number in years,"3.2%! Best Q1 GDP number in 6 years. 💪 🇺🇸 
https://t.co/67puU5bdec",1.0,0.3,
1121765977774071808,great economic report 3.2 gdp growth st quarter so much better than the gdp avg during the obama/biden years potus,Great economic report—3.2% GDP growth 1st quarter. So much better than the 2.1 GDP avg. during the Obama/Biden years!  @POTUS,0.5,0.48333333333333334,
1121765959814078464,best q1 gdp in years we are on a roll,Best Q1 GDP in 6 years! We’re on a roll 💪 https://t.co/ueBphR4wl0,1.0,0.3,
1121462614666752000,combating the opioidcrisis requires a full-team effort the deahq take back day this saturday /27 is an opportunity to address drug abuse in your community by disposing of excess opioids and prescription pills find a collection site near you in or gt gt,"Combating the #opioidcrisis requires a full-team effort. The @DEAHQ #TakeBackDay this Saturday, 4/27, is an opportunity to address drug abuse in your community by disposing of excess opioids &amp; prescription pills. Find a collection site near you in OR &gt;&gt; https://t.co/1nuTKF4kM1",0.05,0.2,"opioidcrisis, TakeBackDay"
1121455483120963586,congress must act and pass legislation to fix the loopholes in our immigration system that are perpetuating the crisis at the southern border read my latest op-ed in the dcexaminer outlining what is at stake,Congress must act and pass legislation to fix the loopholes in our immigration system that are perpetuating the crisis at the southern border. Read my latest op-ed in the @dcexaminer outlining what is at stake. → https://t.co/1cTY7mRfjn,0.25,0.45,
1121444106167836672,democrats health care plan upend your health care and bust our nation budget,Democrats’ health care plan: upend your health care &amp; bust our nation’s #budget. https://t.co/UcHTpt38vs https://t.co/tT6M2XuK2N,0.0,0.0,budget
1121429444722331649,great to be in studio with jim sharpe and news923 this morning on ktar923 thanks for giving me the continued opportunities to inform your listeners about what is happening in congress az05,Great to be in studio with @JimSharpe and @NEWS923 this morning on @KTAR923. Thanks for giving me the continued opportunities to inform your listeners about what's happening in Congress. #AZ05 https://t.co/YouDcq6C7O,0.5,0.475,
1121412270863585280,this saturday april is national take back day with drop off locations across michigan find a site near you,"This Saturday, April 27 is National #TakeBackDay with drop off locations across Michigan. Find a site near you: https://t.co/3VKCsvEGPa https://t.co/7P1DJ3BGon",0.05,0.2,TakeBackDay
1121412182250541056,the new majority in the u.s. house of representatives is pushing the 93 trillion green new deal tell congress what you think about this plan,The new majority in the U.S. House of Representatives is pushing the $93 trillion ‘Green New Deal.’ Tell Congress what you think about this plan: https://t.co/pRFaGmRVJ7 https://t.co/SAEYtYFFVJ,0.024242424242424232,0.403030303030303,
1121408516223270912,a special thank a cop thursday to the brave men and women of the cbp who serve every day to keep our border safe thank you for all that you do,A special #ThankACopThursday to the brave men and women of the @CBP who serve every day to keep our border safe. Thank you for all that you do! https://t.co/gJ1qWEeA4q,0.5523809523809524,0.6904761904761904,ThankACopThursday
1121402834753413120,democrats are planning to hold hearings on medicare for all next week medicare for all would -eliminate private insurance coverage and kick million people off of their plans -cost tax payers 32 trillion over just years -take choice and freedom from all americans,"Democrats are planning to hold hearings on #MedicareForAll next week. 
 
#MedicareForAll would: 
 
-eliminate private insurance coverage and kick 155 million people off of their plans 
-cost tax payers $32 trillion over just 10 years
-take choice and freedom from all Americans",0.0,0.1875,"MedicareForAll, MedicareForAll"
1121398665648713730,this is a powerful piece from someone who has lived under socialism and knows the trust cost of free i will not allow our country to fall to the evils of socialism it is not the answer to the problems that face our country commonsense is,"This is a powerful piece from someone who has lived under socialism and knows the trust cost of “free.” I will not allow our country to fall to the evils of socialism. It is not the answer to the problems that face our country, commonsense is.
https://t.co/pIdmbgBEtY",0.35,0.9,
1121398436274814978,starting the morning in pa11 speaking to the lancaster chamber about our booming economy,Starting the morning in #PA11 speaking to the Lancaster Chamber about our booming economy! https://t.co/kz68Bjo9YW,0.0,0.1,PA11
